OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,SEMIMAJOR_AXIS,SATELLITE_TYPE
GRBALPHA,2021-022AD,2025-01-01T03:21:35.540352,15.45697971,0.0010713,97.4392,267.4165,132.5483,227.6672,0,U,47959,999,20775,0.0020857,0.00101987,0.0,6807.46499426965,CubeSat
BRITE-PL2 (HEWELIUSZ),2014-049B,2024-12-31T20:44:09.452256,14.91148914,0.001626,97.8868,106.0084,74.366,285.9351,0,U,40119,999,56201,0.00064812,6.393e-05,0.0,6972.488879611159,CubeSat
IRIDIUM 167,2019-002K,2025-01-01T02:24:22.822560,14.34217884,0.000176,86.3974,215.9181,98.8592,261.2803,0,U,43931,999,31269,0.00031362,8.98e-06,0.0,7155.803708638886,Iridium Next
GLOBALSTAR M076,2010-054C,2024-12-31T21:45:46.095264,12.62275494,8.41e-05,52.0038,288.5212,33.9845,354.1293,0,U,37190,999,65565,0.000218,-6.5e-07,0.0,7791.703313068299,Globalstar
VESSELSAT 1,2011-058C,2024-12-31T09:26:42.968832,14.11286964,0.0013783,19.9634,29.16,140.2945,219.847,0,U,37840,999,68257,0.00019995,6.32e-06,0.0,7233.108081902695,Orbcomm
DELFI-N3XT,2013-066N,2024-12-31T11:50:07.322784,14.84280922,0.0091025,97.8385,280.3747,165.2058,195.1852,0,U,39428,999,59529,0.0016651,0.00014993,0.0,6993.980832523326,CubeSat
AEROCUBE 8C,2016-067F,2024-12-31T23:39:16.751520,15.1360596,0.0007736,98.0924,186.0144,88.2242,271.9874,0,U,41853,999,44524,0.0011153,0.00020007,0.0,6903.350994090944,CubeSat
STRAND-1,2013-009E,2024-12-31T23:33:35.608896,14.36553485,0.0009299,98.3766,189.8964,27.9918,332.1767,0,U,39090,999,62065,0.00048346,1.379e-05,0.0,7148.04549448584,CubeSat
JAS-2 (FO-29),1996-046B,2024-12-31T03:56:02.059008,13.53228207,0.0350575,98.5889,275.0438,38.2228,324.3219,0,U,24278,999,40107,0.00011594,8e-07,0.0,7438.541897176224,Amateur Radio
ORBCOMM FM29,2008-031C,2024-12-31T20:21:11.183904,14.79653439,0.0006548,48.4393,47.2128,13.8574,156.6075,0,U,33062,999,88935,0.00094934,6.997e-05,0.0,7008.555272921742,Orbcomm
